Disease,Description,Diet,workout,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']","['Avoid trigger foods (caffeine, alcohol)', 'Limit sodium intake', 'Stay hydrated', 'Consume ginger and ginkgo biloba', 'Limit artificial sweeteners', 'Consult a healthcare professional', 'Avoid sudden head movements', 'Follow medical recommendations', 'Manage stress', 'Limit caffeine and stimulants']","['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']",lie down,avoid sudden change in body,avoid abrupt head movment,relax
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Follow a balanced and nutritious diet', 'Include lean proteins', 'Consume nutrient-rich foods', 'Stay hydrated', 'Include healthy fats', 'Avoid raw or undercooked foods', 'Limit sugary foods and beverages', 'Consume immune-boosting foods', 'Take prescribed supplements', 'Consult a healthcare professional']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","['Consume a balanced diet', 'Limit dairy and high-glycemic foods', 'Include antioxidants', 'Stay hydrated', 'Limit processed foods', 'Include zinc-rich foods', 'Consult a skincare professional', 'Practice good skincare hygiene', 'Limit sugary foods and beverages', 'Follow medical recommendations']","['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Avoid alcohol consumption', 'Follow a balanced and nutritious diet', 'Stay hydrated', 'Consume nutrient-rich foods', 'Include protein-rich foods', 'Limit fatty foods', 'Include antioxidants', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Avoid allergenic foods', 'Consume anti-inflammatory foods', 'Include omega-3 fatty acids', 'Stay hydrated', 'Eat foods rich in vitamin C', 'Include quercetin-rich foods', 'Consume local honey', 'Limit processed foods', 'Include ginger in diet', 'Avoid artificial additives']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,Avoid walking barefoot or with sandals,use ice to compress itching
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Consume anti-inflammatory foods', 'Include omega-3 fatty acids', 'Consume antioxidant-rich foods', 'Stay hydrated', 'Limit processed foods', 'Include vitamin K-rich foods', 'Consult a healthcare professional', 'Follow medical recommendations', 'Engage in low-impact exercise', 'Maintain a healthy weight']","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",exercise,use hot and cold therapy,try acupuncture,massage
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Include anti-inflammatory foods', 'Consume omega-3 fatty acids', 'Limit sodium intake', 'Stay hydrated', 'Include antioxidant-rich foods', 'Avoid sulfite-containing foods', 'Limit processed foods', 'Consume magnesium-rich foods', 'Consult a healthcare professional', 'Avoid trigger foods']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",switch to loose cloothing,take deep breaths,get away from trigger,seek help
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Include anti-inflammatory foods', 'Consume omega-3 fatty acids', 'Include vitamin D-rich foods', 'Stay hydrated', 'Consume antioxidant-rich foods', 'Limit processed foods', 'Include lean proteins', 'Practice good posture', 'Consult a healthcare professional', 'Engage in regular exercise']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Stay hydrated', 'Include easily digestible foods', 'Include vitamin C-rich foods', 'Consume protein-rich foods', 'Include zinc-rich foods', 'Avoid spicy and acidic foods', 'Consult a healthcare professional', 'Practice good hygiene', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Consume a low-fat diet', 'Eat high-fiber foods', 'Include healthy fats', 'Limit alcohol consumption', 'Stay hydrated', 'Consume antioxidant-rich foods', 'Include omega-3 fatty acids', 'Include lean proteins', 'Limit processed foods', 'Avoid fried foods']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy
